game_id,version,is_sona_autocredit,sona_experiment_id,sona_credit_token,sona_survey_code,round_index,player_id,is_bot,bot_strategy,bot_round_memory,round_begin_ts,player_move,player_rt,player_outcome,player_outcome_viewtime,player_points,player_total
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,1,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812017420,scissors,9216,loss,5728,-1,0
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,1,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 0, 'paper': 0, 'scissors': 0}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 0, 'paper': 0, 'scissors': 0}}",1609812017420,rock,0,win,0,3,0
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,2,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812032495,scissors,3248,tie,1521,0,-1
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,2,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 0, 'paper': 0, 'scissors': 1}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 0, 'paper': 0, 'scissors': 0}}",1609812032495,scissors,0,tie,0,0,3
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,3,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812037335,scissors,962,tie,1445,0,-1
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,3,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 0, 'paper': 0, 'scissors': 1}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 0, 'paper': 0, 'scissors': 1}}",1609812037335,scissors,0,tie,0,0,3
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,4,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812039820,scissors,1990,loss,1834,-1,-1
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,4,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 0, 'paper': 0, 'scissors': 1}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 0, 'paper': 0, 'scissors': 2}}",1609812039820,rock,0,win,0,3,3
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,5,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812043729,paper,1709,win,3615,3,-2
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,5,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 0, 'paper': 1, 'scissors': 1}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 0, 'paper': 0, 'scissors': 2}}",1609812043729,rock,0,loss,0,-1,6
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,6,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812049125,paper,814,loss,1681,-1,1
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,6,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 0, 'paper': 2, 'scissors': 1}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 0, 'paper': 0, 'scissors': 2}}",1609812049125,scissors,0,win,0,3,5
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,7,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812051690,rock,933,tie,1277,0,0
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,7,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 0, 'paper': 2, 'scissors': 1}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 1, 'paper': 0, 'scissors': 2}}",1609812051690,rock,0,tie,0,0,8
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,8,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812053969,rock,816,win,1820,3,0
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,8,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 1, 'paper': 2, 'scissors': 1}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 1, 'paper': 0, 'scissors': 2}}",1609812053969,scissors,0,loss,0,-1,8
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,9,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812056738,rock,740,tie,1374,0,3
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,9,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 1, 'paper': 2, 'scissors': 1}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 2, 'paper': 0, 'scissors': 2}}",1609812056738,rock,0,tie,0,0,7
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,10,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812058994,rock,905,win,1208,3,3
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,10,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 2, 'paper': 2, 'scissors': 1}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 2, 'paper': 0, 'scissors': 2}}",1609812058994,scissors,0,loss,0,-1,7
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,11,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812061170,rock,963,loss,1471,-1,6
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,11,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 2, 'paper': 2, 'scissors': 1}, 'paper': {'rock': 0, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 3, 'paper': 0, 'scissors': 2}}",1609812061170,paper,0,win,0,3,6
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,12,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812063669,rock,1015,loss,1665,-1,5
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,12,0f903f42-6a34-4957-b157-04c38db7274b,1,bot_prev_move,"{'rock': {'rock': 2, 'paper': 2, 'scissors': 1}, 'paper': {'rock': 1, 'paper': 0, 'scissors': 0}, 'scissors': {'rock': 3, 'paper': 0, 'scissors': 2}}",1609812063669,paper,0,win,0,3,9
cd6f768e-e0e8-4149-8cb7-fc7ab316fa6d,3,1,1768,19421bc286424246b6b1e873e7a55a8e,35100,13,54c50e63-2c92-4d75-b541-d1d7579685fc,0,bot_prev_move,NA,1609812066444,scissors,1613,win,1337,3,4
