game_id,version,is_sona_autocredit,sona_experiment_id,sona_credit_token,sona_survey_code,round_index,player_id,is_bot,bot_strategy,bot_round_memory,round_begin_ts,player_move,player_rt,player_outcome,player_outcome_viewtime,player_points,player_total
7178afff-aaa6-48e2-9ad6-6b0bb94108b6,3,1,1996,2a73382e8c16449f86f5b46dc02007e9,34181,1,eeeecf46-bb88-4e3f-aea7-71bf4630c0b8,0,opponent_outcome_transitions,NA,1609901646407,scissors,4068,win,5265,3,0
7178afff-aaa6-48e2-9ad6-6b0bb94108b6,3,1,1996,2a73382e8c16449f86f5b46dc02007e9,34181,1,ee7d458c-03e5-4156-8ffd-b5d0c98d7b50,1,opponent_outcome_transitions,"{'win': {'0': 0, '+': 0, '-': 0}, 'loss': {'0': 0, '+': 0, '-': 0}, 'tie': {'0': 0, '+': 0, '-': 0}}",1609901646407,paper,0,loss,0,-1,0
7178afff-aaa6-48e2-9ad6-6b0bb94108b6,3,1,1996,2a73382e8c16449f86f5b46dc02007e9,34181,2,eeeecf46-bb88-4e3f-aea7-71bf4630c0b8,0,opponent_outcome_transitions,NA,1609901655972,paper,2214,win,2595,3,3
7178afff-aaa6-48e2-9ad6-6b0bb94108b6,3,1,1996,2a73382e8c16449f86f5b46dc02007e9,34181,2,ee7d458c-03e5-4156-8ffd-b5d0c98d7b50,1,opponent_outcome_transitions,"{'win': {'0': 0, '+': 0, '-': 1}, 'loss': {'0': 0, '+': 0, '-': 0}, 'tie': {'0': 0, '+': 0, '-': 0}}",1609901655972,rock,0,loss,0,-1,-1
7178afff-aaa6-48e2-9ad6-6b0bb94108b6,3,1,1996,2a73382e8c16449f86f5b46dc02007e9,34181,3,eeeecf46-bb88-4e3f-aea7-71bf4630c0b8,0,opponent_outcome_transitions,NA,1609901660943,scissors,2478,win,3129,3,6
7178afff-aaa6-48e2-9ad6-6b0bb94108b6,3,1,1996,2a73382e8c16449f86f5b46dc02007e9,34181,3,ee7d458c-03e5-4156-8ffd-b5d0c98d7b50,1,opponent_outcome_transitions,"{'win': {'0': 0, '+': 1, '-': 1}, 'loss': {'0': 0, '+': 0, '-': 0}, 'tie': {'0': 0, '+': 0, '-': 0}}",1609901660943,paper,0,loss,0,-1,-2
7178afff-aaa6-48e2-9ad6-6b0bb94108b6,3,1,1996,2a73382e8c16449f86f5b46dc02007e9,34181,4,eeeecf46-bb88-4e3f-aea7-71bf4630c0b8,0,opponent_outcome_transitions,NA,1609901666720,paper,2033,loss,1760,-1,9
7178afff-aaa6-48e2-9ad6-6b0bb94108b6,3,1,1996,2a73382e8c16449f86f5b46dc02007e9,34181,4,ee7d458c-03e5-4156-8ffd-b5d0c98d7b50,1,opponent_outcome_transitions,"{'win': {'0': 0, '+': 1, '-': 2}, 'loss': {'0': 0, '+': 0, '-': 0}, 'tie': {'0': 0, '+': 0, '-': 0}}",1609901666720,scissors,0,win,0,3,-3
7178afff-aaa6-48e2-9ad6-6b0bb94108b6,3,1,1996,2a73382e8c16449f86f5b46dc02007e9,34181,5,eeeecf46-bb88-4e3f-aea7-71bf4630c0b8,0,opponent_outcome_transitions,NA,1609901670676,rock,2599,win,2133,3,8
7178afff-aaa6-48e2-9ad6-6b0bb94108b6,3,1,1996,2a73382e8c16449f86f5b46dc02007e9,34181,5,ee7d458c-03e5-4156-8ffd-b5d0c98d7b50,1,opponent_outcome_transitions,"{'win': {'0': 0, '+': 1, '-': 2}, 'loss': {'0': 0, '+': 0, '-': 1}, 'tie': {'0': 0, '+': 0, '-': 0}}",1609901670676,scissors,0,loss,0,-1,0
