game_id,player_id,statement,index,resp
d1c61fc5-5bbb-4dbd-b611-18bace3ee3a9,7b94c71f-98ec-4000-a5d3-15423810e156,My opponent was a real person and not a robot.,0,2
d1c61fc5-5bbb-4dbd-b611-18bace3ee3a9,7b94c71f-98ec-4000-a5d3-15423810e156,I was trying to win each round against my opponent.,1,5
d1c61fc5-5bbb-4dbd-b611-18bace3ee3a9,7b94c71f-98ec-4000-a5d3-15423810e156,I was focused on winning for the entire time I was playing.,2,4
d1c61fc5-5bbb-4dbd-b611-18bace3ee3a9,7b94c71f-98ec-4000-a5d3-15423810e156,I paid attention to my opponent’s moves in order to try and predict their next move.,3,5
d1c61fc5-5bbb-4dbd-b611-18bace3ee3a9,7b94c71f-98ec-4000-a5d3-15423810e156,There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.,4,5
3c480319-e167-4f3a-bb08-1218704f8d0b,727a7a81-29d4-4cf7-9965-e9277fb226bb,My opponent was a real person and not a robot.,0,2
3c480319-e167-4f3a-bb08-1218704f8d0b,727a7a81-29d4-4cf7-9965-e9277fb226bb,I was trying to win each round against my opponent.,1,2
3c480319-e167-4f3a-bb08-1218704f8d0b,727a7a81-29d4-4cf7-9965-e9277fb226bb,I was focused on winning for the entire time I was playing.,2,2
3c480319-e167-4f3a-bb08-1218704f8d0b,727a7a81-29d4-4cf7-9965-e9277fb226bb,I paid attention to my opponent’s moves in order to try and predict their next move.,3,5
3c480319-e167-4f3a-bb08-1218704f8d0b,727a7a81-29d4-4cf7-9965-e9277fb226bb,There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.,4,6
ebd54677-9931-4785-9ad6-374ff82c2070,ec0c5956-7f17-4849-98fd-0f8102d6d09c,My opponent was a real person and not a robot.,0,1
ebd54677-9931-4785-9ad6-374ff82c2070,ec0c5956-7f17-4849-98fd-0f8102d6d09c,I was trying to win each round against my opponent.,1,7
ebd54677-9931-4785-9ad6-374ff82c2070,ec0c5956-7f17-4849-98fd-0f8102d6d09c,I was focused on winning for the entire time I was playing.,2,7
ebd54677-9931-4785-9ad6-374ff82c2070,ec0c5956-7f17-4849-98fd-0f8102d6d09c,I paid attention to my opponent’s moves in order to try and predict their next move.,3,7
ebd54677-9931-4785-9ad6-374ff82c2070,ec0c5956-7f17-4849-98fd-0f8102d6d09c,There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.,4,7
12e904c3-e3b6-4b2a-a679-a1d057d4d8fe,6805a080-daeb-42c3-98ab-3a52e9731116,My opponent was a real person and not a robot.,0,2
12e904c3-e3b6-4b2a-a679-a1d057d4d8fe,6805a080-daeb-42c3-98ab-3a52e9731116,I was trying to win each round against my opponent.,1,5
12e904c3-e3b6-4b2a-a679-a1d057d4d8fe,6805a080-daeb-42c3-98ab-3a52e9731116,I was focused on winning for the entire time I was playing.,2,4
12e904c3-e3b6-4b2a-a679-a1d057d4d8fe,6805a080-daeb-42c3-98ab-3a52e9731116,I paid attention to my opponent’s moves in order to try and predict their next move.,3,6
12e904c3-e3b6-4b2a-a679-a1d057d4d8fe,6805a080-daeb-42c3-98ab-3a52e9731116,There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.,4,6
b6a3ee2d-c731-4dc2-99ac-7f678f3b6dd3,fae4afe4-7a57-40fb-a553-a2410b1a3e5a,My opponent was a real person and not a robot.,0,1
b6a3ee2d-c731-4dc2-99ac-7f678f3b6dd3,fae4afe4-7a57-40fb-a553-a2410b1a3e5a,I was trying to win each round against my opponent.,1,5
b6a3ee2d-c731-4dc2-99ac-7f678f3b6dd3,fae4afe4-7a57-40fb-a553-a2410b1a3e5a,I was focused on winning for the entire time I was playing.,2,6
b6a3ee2d-c731-4dc2-99ac-7f678f3b6dd3,fae4afe4-7a57-40fb-a553-a2410b1a3e5a,I paid attention to my opponent’s moves in order to try and predict their next move.,3,7
b6a3ee2d-c731-4dc2-99ac-7f678f3b6dd3,fae4afe4-7a57-40fb-a553-a2410b1a3e5a,There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.,4,7
9ab2fcdc-65b1-48ad-ba4f-010da3aebb55,f4f217c2-3b2d-414e-99a9-3424a25e0103,My opponent was a real person and not a robot.,0,1
9ab2fcdc-65b1-48ad-ba4f-010da3aebb55,f4f217c2-3b2d-414e-99a9-3424a25e0103,I was trying to win each round against my opponent.,1,5
9ab2fcdc-65b1-48ad-ba4f-010da3aebb55,f4f217c2-3b2d-414e-99a9-3424a25e0103,I was focused on winning for the entire time I was playing.,2,5
9ab2fcdc-65b1-48ad-ba4f-010da3aebb55,f4f217c2-3b2d-414e-99a9-3424a25e0103,I paid attention to my opponent’s moves in order to try and predict their next move.,3,7
9ab2fcdc-65b1-48ad-ba4f-010da3aebb55,f4f217c2-3b2d-414e-99a9-3424a25e0103,There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.,4,5
a17bcc2d-0817-4753-8185-61bea8a7c168,831d7565-ff6e-4798-914e-aa748e19af1a,My opponent was a real person and not a robot.,0,1
a17bcc2d-0817-4753-8185-61bea8a7c168,831d7565-ff6e-4798-914e-aa748e19af1a,I was trying to win each round against my opponent.,1,5
a17bcc2d-0817-4753-8185-61bea8a7c168,831d7565-ff6e-4798-914e-aa748e19af1a,I was focused on winning for the entire time I was playing.,2,5
a17bcc2d-0817-4753-8185-61bea8a7c168,831d7565-ff6e-4798-914e-aa748e19af1a,I paid attention to my opponent’s moves in order to try and predict their next move.,3,6
a17bcc2d-0817-4753-8185-61bea8a7c168,831d7565-ff6e-4798-914e-aa748e19af1a,There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.,4,7
79025357-520e-4aba-8afb-763fd7c18885,9570a173-dd3a-4289-a2a5-705ec0c114fb,My opponent was a real person and not a robot.,0,2
79025357-520e-4aba-8afb-763fd7c18885,9570a173-dd3a-4289-a2a5-705ec0c114fb,I was trying to win each round against my opponent.,1,6
79025357-520e-4aba-8afb-763fd7c18885,9570a173-dd3a-4289-a2a5-705ec0c114fb,I was focused on winning for the entire time I was playing.,2,6
79025357-520e-4aba-8afb-763fd7c18885,9570a173-dd3a-4289-a2a5-705ec0c114fb,I paid attention to my opponent’s moves in order to try and predict their next move.,3,7
79025357-520e-4aba-8afb-763fd7c18885,9570a173-dd3a-4289-a2a5-705ec0c114fb,There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.,4,7
bdbbbb30-948b-401c-bab7-d313c26193a2,0286d56b-9826-4f0b-ae4a-e4d669aa0bd1,My opponent was a real person and not a robot.,0,1
bdbbbb30-948b-401c-bab7-d313c26193a2,0286d56b-9826-4f0b-ae4a-e4d669aa0bd1,I was trying to win each round against my opponent.,1,5
bdbbbb30-948b-401c-bab7-d313c26193a2,0286d56b-9826-4f0b-ae4a-e4d669aa0bd1,I was focused on winning for the entire time I was playing.,2,5
bdbbbb30-948b-401c-bab7-d313c26193a2,0286d56b-9826-4f0b-ae4a-e4d669aa0bd1,I paid attention to my opponent’s moves in order to try and predict their next move.,3,5
bdbbbb30-948b-401c-bab7-d313c26193a2,0286d56b-9826-4f0b-ae4a-e4d669aa0bd1,There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.,4,5
