game_id,player_id,free_resp_prompt,free_resp_answer
52b03224-654b-468f-84ad-7f1e51dc239e,64594cd9-dda0-4d7e-bea0-1058edddc350,"In the text box below, please describe any strategies you used to try and beat your opponent.","If it uses paper, I would scissors assuming it would use the same move if it won that round. Basically using the last move and then using what would beat it and then change it up a bit (to beat it) with assuming it would try to do the same strategy."
ac1aaa3c-e83f-4df7-8df7-0af90c77fc86,8286e932-14a2-4e4b-be9d-29f93aece2f2,"In the text box below, please describe any strategies you used to try and beat your opponent.",No strategies. 
f47262e0-3a9f-4f3b-af4e-31b91b4dbc69,d3fc7517-ab7e-4898-a733-eeeb1a231443,"In the text box below, please describe any strategies you used to try and beat your opponent.","if they kept repeating one of them, I tried to repeat the one that would beat them. If they seemed to be going in a certain order I tried to stay one step ahead of them but it was harder when it was ore random. "
dcfe36cc-d56f-44b6-9079-477f59de5db3,5c294892-6bf5-4bb8-9c2e-ed817e88311f,"In the text box below, please describe any strategies you used to try and beat your opponent.",There was usually a pattern in which the opponent would either choose the same thing for 4 or 5 rounds or it would go clockwise or counterclockwise between the choices and so I figured out which pattern it was using to make a prediction about what it was going to pick next and then I picked the one that would beat it.
ccde583e-c0fa-4638-a352-7664536026d8,fa2d19c1-62e0-4342-9b88-b4aeccc710e6,"In the text box below, please describe any strategies you used to try and beat your opponent.","pick the opposite of whatever won last, pick the one that would usually lose in the last round"
6e55aaaa-7c50-4739-bfae-21bf695ce45b,7480e7ed-ab76-4645-b368-1fb0d6fc5525,"In the text box below, please describe any strategies you used to try and beat your opponent.","I find the computer are using some sort of pattern in like several rounds, so I make a win pattern according to what it shows. Also, when I find the stone appears for several time, I will not use cissor."
f3b95382-b74f-4925-a14f-9268a558334b,2cd612d6-b13f-46ff-91d0-0061abbafda9,"In the text box below, please describe any strategies you used to try and beat your opponent.","I basically choose rock paper scissors in order, for example, the rock first, then paper, and so on."
7beabc1b-9f13-4850-b343-2dff22fc7817,49f4b018-2f39-4871-89aa-44f2dc2128b8,"In the text box below, please describe any strategies you used to try and beat your opponent.","tie on purpose
"
49d02203-93bc-464a-acd8-ef575054f9dd,a974857a-27bd-432e-acab-600de24cb1c5,"In the text box below, please describe any strategies you used to try and beat your opponent.","none, randomly selected
"
4c231d3b-bbd3-43ca-b084-becafecdf2ae,99726197-e172-4ea0-a8b1-f798999c54c6,"In the text box below, please describe any strategies you used to try and beat your opponent.",I tried to see if there were any patterns to the way they were selecting their choice and tried to make my decision based on my assumption of what they would choose.
