game_id,player_id,free_resp_prompt,free_resp_answer
93eac3ef-16eb-40aa-88c4-7ede3a75037e,9a98678a-2e81-4263-b8c9-0cb969c7a446,"In the text box below, please describe any strategies you used to try and beat your opponent.",I was trying to notice if the opponent had a pattern in what they were going to choose. Like if the opponent was just going in circular order I would guess the opponent's next choice and play the piece that beat the opponent's choice.
2fab6d58-8842-4862-96db-451b64b23979,dbd2b507-befb-47d9-b3a3-96a249a5d641,"In the text box below, please describe any strategies you used to try and beat your opponent.",I noticed sometimes that he/she followed a certain pattern so I just did the opposite of what I thought he/she will do.
23460664-eee3-45dd-997c-49595d3aeb2e,5afd7411-7d60-4d24-aab4-f5334bd53042,"In the text box below, please describe any strategies you used to try and beat your opponent.",randomly selected. 
1b4ff0c2-2150-47bd-bea7-cae8c55bf89c,8d10dbef-1d72-4f3d-9c1c-643ec8559899,"In the text box below, please describe any strategies you used to try and beat your opponent.","most of the time, I picked the option that countered the opponent's last choice. If I tied with the opponent, I would try to tie with them the next few times, then would randomly choose the winning card when I think the opponent doesn't expect me to stop tying with them. Sometimes I would do the same card they just played or the same card over and over again to try to confuse them."
b00677cd-99b9-41b6-a337-523f0a6427c8,8c1acc55-6ff2-4010-8e16-93084bf49a24,"In the text box below, please describe any strategies you used to try and beat your opponent.","In the middle when she was getting tired, she fell into the pattern. But ultimately I believe the game has no skill and it is completely random so I picked random answers."
d801f0d5-8c27-419c-b864-9f36bc44ce00,34869fd3-29f0-4354-83c8-10bb36575b04,"In the text box below, please describe any strategies you used to try and beat your opponent.","If he lost against me, I would assume that he would try to use the symbol that is stronger than the one I just used and beat me. So I would use the one that would beat him in the next round so he couldn't win against me."
24b49199-9ed8-492a-ab75-7497e037c496,64934e39-bb89-42fb-865e-13cda0a728df,"In the text box below, please describe any strategies you used to try and beat your opponent.","I WOULD PICK THE SIGN THAT THE PERSON PICK IN THE EARLIER ROUND OR I WOULD PICK A SIGN TWICE IN A ROUND THE SWITCH WHILE OTHER TIMES, i just went with my gut-feeling"
b8edc549-6f23-4a3a-9d12-4d237a93893e,b29cd4f7-fddc-4dd8-97bc-df86241a2dc1,"In the text box below, please describe any strategies you used to try and beat your opponent.",I did not chose the same thing for more than two times. 
b5cce1bc-9612-4e6c-8c48-df89d2f3389c,f73f9125-d59a-4961-82b0-433d24cde280,"In the text box below, please describe any strategies you used to try and beat your opponent.","I tried to play by thinking of what my opponent would do. I think that was a bit misleading, because sometimes, my opponent would do something unexpected and I would lose my train of thought or expectation. I utilized this strategy throughout the entirety of the game."
e952f15b-325e-44a7-a7ae-a2666adc1b25,143f5cd7-45c6-44f8-acdf-6dcc69fae976,"In the text box below, please describe any strategies you used to try and beat your opponent.","try to guess what my opponent will pick and pick the opposite one 
"
dceaead9-cdf4-4c3b-9023-13f53f7d065b,4e15f0c9-de4c-4c32-9322-cac6a91f4d75,"In the text box below, please describe any strategies you used to try and beat your opponent.",I tried to use the same rock/ paper/ scissors two/three/ four times in a row. Sometimes I would pause and try think about what move they would make and I noticed that they didn't really pick an object more than two times in a row
79c542f2-f578-4f8b-bcae-e281a217efe2,538821dd-50f1-4784-8ccd-fc2aa72a6b81,"In the text box below, please describe any strategies you used to try and beat your opponent.",Just randomly picking? Probably not picking the same one over and over again.
f5b9193b-e985-4d37-bf5a-ae9a82499671,1e58af30-db85-4e8f-96c9-de55c627c35a,"In the text box below, please describe any strategies you used to try and beat your opponent.",We kept matched pressing scissors a few times and eventually used rock to beat it. I admit there was a bit of a Gambler's Fallacy because I assumed they would pick scissors every time.
4484e9a0-fd9b-487c-ae9f-c82536809000,5eef4826-89c0-4fad-b28f-9d2f02e23225,"In the text box below, please describe any strategies you used to try and beat your opponent.","I tried to determine which strategy the computer used, and initially the last move I played would determine which move it would play. (For example, if I played rock, its next move would be paper.) Then I questioned whether the computer would anticipate two moves ahead of my last played move. (For example, if I played rock, it would predict that I would play scissors with the expectation that it would play scissors.) Ultimately, I was not able to determine the correct pattern of action implemented by the computer. I do believe that it would repeat the same move if we ended in a draw up to two times in a row. "
239534b4-e035-48a0-af0b-414a97bcc631,b068ac38-b969-454e-ad65-28fc739e7600,"In the text box below, please describe any strategies you used to try and beat your opponent.","I noticed my opponent would do the same thing a couple of round so I would see what they were doing and how I could counteract. I also knew they would change their approach after loosing a few times, so I should change mine and try to guess their next pick.  I was doing really well the first half, but then I think they caught on to me and ended up getting ahead of me."
b3e40c26-43bb-4b9a-84d9-95e89b9e7e38,a825148b-774b-4b8e-9f07-c468ffb91a7f,"In the text box below, please describe any strategies you used to try and beat your opponent.",try to find their pattern of choice and guess the next move
6efc2377-be23-4135-a54e-fa82e7a25128,4a7c6607-4ba0-4898-8946-cf23507a3767,"In the text box below, please describe any strategies you used to try and beat your opponent.","After a few times of selecting the same option, the opponent would default to also selecting that same option and it would result in a long string of ties. "
0c38a6ee-ed33-443c-b240-bef3802676ad,f6d133d4-559a-443b-a175-e8816f85ae40,"In the text box below, please describe any strategies you used to try and beat your opponent.",I looked for any patterns there might be or anything that the opponent might have favored.
64680839-c028-4543-8046-7f8ad9a9c5c4,8f775c67-e911-4906-ac9d-5a2e24fb16cb,"In the text box below, please describe any strategies you used to try and beat your opponent.","Over time I learned that if I put either rock, paper, or scissors, my opponent would repeat my choice. For example, if I put rock my opponent would expect me to put rock again and they would put paper so I would put scissors instead. I learned that there is an expectation in this game and you need to learn what your opponent expects so you can do something differently and win. "
a8bec2ed-fe0f-4121-aa74-8a16deb70d3c,9838e41f-087f-410a-b236-f9426acb6a2e,"In the text box below, please describe any strategies you used to try and beat your opponent.","First, I just kept picking rock. I wanted to see if their was some sort of pattern my opponent was using. I thought I had an idea of their strategy, but they would keep changing it up. Then, I just started picking randomly which was the least effective strategy where I feel like I would have lost more points if I continued to do that."
79c542f2-f578-4f8b-bcae-e281a217efe2,27898e1e-d867-47e1-b88d-515c3551cf8f,"In the text box below, please describe any strategies you used to try and beat your opponent.","I tried to look for pattern and then I tried to double up my answers to make them choose and offense then make my move the offense, but it the end nothing really worked for me"
ae3e67df-db26-4a00-b6e4-4a5b18870ea0,41fb1142-6964-40b6-aed6-bf6dba63a203,"In the text box below, please describe any strategies you used to try and beat your opponent.","I tried to see if there were any patterns that the opponent used that I could follow. However, i tried to change it up every 10 tries because they might think im onto them"
24b49199-9ed8-492a-ab75-7497e037c496,26f1c2e8-4950-4186-9441-e0cadcda07de,"In the text box below, please describe any strategies you used to try and beat your opponent.",I tried to anticipate what they would anticipate me to do and I would counter them or choose the same as what they would anticipate
a1de1f4d-c62d-4427-a8c6-be100baca38d,b18e4721-1095-4529-a9c9-fef3347b1e4b,"In the text box below, please describe any strategies you used to try and beat your opponent.","If there's even for too many rounds, I'll guess the opponent is gonna try something to beat the one that we're currently playing around, and I'll choose the opposite one to beat the person. "
0283f6be-802c-4f51-bd49-7ddbc6d9dc84,05a31c1e-f4ca-47cc-bd94-c7ac74bc1937,"In the text box below, please describe any strategies you used to try and beat your opponent.",clicking on the same object twice to see how will the opponent choose.
138c2f27-3a67-4b44-9ebe-1418559ffdcc,489b81d6-071a-4b75-8e77-c6622d447735,"In the text box below, please describe any strategies you used to try and beat your opponent.",Try to predict his next two moves and bait him by coming up with a pattern of play. ex: rock to paper to scissor. Then trying to tie is also an alternative as no points will be deducted so I would play something that would either allow to me tie or win for the next round.
f45b5146-aeb4-4c7a-bc80-77a2fc3335a1,6eb70471-8d72-4414-859b-3fb9464ad391,"In the text box below, please describe any strategies you used to try and beat your opponent.",Trying to see the pattern of the items they choose because they were choosing similar ones in a similar order throughout the game. I also tried to not change the pattern of the ones I was choosing.
